Порядковый индекс,ID_маршрута,Номер_маршрута,ID_остановки,Координаты
352,1110,16,16062,"59.915862711664943,30.2992821"
353,1110,16,16062,"59.915862711664943,30.2992821"
354,1110,16,16067,"59.915955153527598,30.3094082"
355,1110,16,16067,"59.915955153527598,30.3094082"
356,1110,16,16071,"59.916044171374232,30.3175716"
357,1110,16,16071,"59.916044171374232,30.3175716"
358,1110,16,16074,"59.92055295536597,30.3285713"
359,1110,16,16074,"59.92055295536597,30.3285713"
360,1110,16,16078,"59.922932059165198,30.3343964"
361,1110,16,16078,"59.922932059165198,30.3343964"
362,1110,16,16085,"59.919947026859063,30.3391991"
363,1110,16,16085,"59.919947026859063,30.3391991"
364,1110,16,16091,"59.921182835418932,30.3446045"
365,1110,16,16091,"59.921182835418932,30.3446045"
366,1110,16,16096,"59.922552098636878,30.3494606"
367,1110,16,16096,"59.922552098636878,30.3494606"
368,1110,16,35627,"59.924126681490947,30.3509712"
369,1110,16,35627,"59.924126681490947,30.3509712"
370,1110,16,16103,"59.921395074917747,30.3544159"
371,1110,16,16103,"59.921395074917747,30.3544159"
372,1110,16,20497,"59.914246649364372,30.3498974"
373,1110,16,20497,"59.914246649364372,30.3498974"
374,1110,16,16115,"59.911757348630204,30.3483639"
375,1110,16,16115,"59.911757348630204,30.3483639"
376,1110,16,20520,"59.908045307315987,30.3458004"
377,1110,16,20520,"59.908045307315987,30.3458004"
378,1110,16,16127,"59.90683298251966,30.3486214"
379,1110,16,16127,"59.90683298251966,30.3486214"
380,1110,16,16132,"59.905966519878618,30.3523235"
381,1110,16,16132,"59.905966519878618,30.3523235"
382,1110,16,16138,"59.905723358315669,30.356369"
383,1110,16,16138,"59.905723358315669,30.356369"
384,1110,16,16147,"59.904822617574986,30.3635826"
385,1110,16,16147,"59.904822617574986,30.3635826"
386,1110,16,16171,"59.901342720405623,30.3660202"
387,1110,16,16171,"59.901342720405623,30.3660202"
388,1110,16,16197,"59.900493241318379,30.3712997"
389,1110,16,16197,"59.900493241318379,30.3712997"
390,1110,16,16181,"59.900859753105607,30.3716927"
391,1113,20,16112,"60.052869092232683,30.3779907"
392,1113,20,25629,"60.052129193061042,30.3779984"
393,1113,20,25629,"60.052129193061042,30.3779984"
394,1113,20,16118,"60.048818196851563,30.3773556"
395,1113,20,16118,"60.048818196851563,30.3773556"
396,1113,20,16124,"60.045394325299412,30.3743095"
397,1113,20,16124,"60.045394325299412,30.3743095"
398,1113,20,16129,"60.040721736513895,30.3700924"
399,1113,20,16129,"60.040721736513895,30.3700924"
400,1113,20,16133,"60.036471494042139,30.3663654"
401,1113,20,16133,"60.036471494042139,30.3663654"
402,1113,20,15993,"60.03746417586725,30.3596306"
403,1113,20,15993,"60.03746417586725,30.3596306"
404,1113,20,34944,"60.038787705226845,30.3533001"
405,1113,20,34944,"60.038787705226845,30.3533001"
406,1113,20,15994,"60.039913345677959,30.3475819"
407,1113,20,15994,"60.039913345677959,30.3475819"
408,1113,20,24309,"60.041444837288537,30.3403091"
409,1113,20,24309,"60.041444837288537,30.3403091"
410,1113,20,16117,"60.04247147675666,30.3353024"
411,1113,20,16117,"60.04247147675666,30.3353024"
412,1113,20,16001,"60.043730004519418,30.3292198"
413,1113,20,16001,"60.043730004519418,30.3292198"
414,1113,20,16049,"60.036478316699451,30.322691"
415,1113,20,16049,"60.036478316699451,30.322691"
416,1113,20,16053,"60.031872702435415,30.320282"
417,1113,20,16053,"60.031872702435415,30.320282"
418,1113,20,16057,"60.023751611089651,30.3194427"
419,1113,20,16057,"60.023751611089651,30.3194427"
420,1113,20,16061,"60.021045274712968,30.3204803"
421,1113,20,16061,"60.021045274712968,30.3204803"
422,1113,20,24336,"60.0179666756583,30.3217201"
423,1113,20,24336,"60.0179666756583,30.3217201"
424,1113,20,16139,"60.011081453751991,30.3245201"
425,1113,20,16139,"60.011081453751991,30.3245201"
426,1113,20,16143,"60.005704043931502,30.3266582"
427,1113,20,16143,"60.005704043931502,30.3266582"
428,1113,20,16546,"60.003023548051679,30.3305511"
429,1113,20,16546,"60.003023548051679,30.3305511"
430,1113,20,16551,"60.001708830543343,30.3397045"
431,1113,20,16551,"60.001708830543343,30.3397045"
432,1113,20,16555,"60.000578473194061,30.3476276"
433,1113,20,16555,"60.000578473194061,30.3476276"
434,1113,20,16559,"59.999861308020648,30.3526669"
435,1113,20,16559,"59.999861308020648,30.3526669"
436,1113,20,16562,"59.99858403249393,30.361578"
437,1113,20,16562,"59.99858403249393,30.361578"
438,1113,20,16496,"59.996903691180883,30.3639412"
439,1113,20,16496,"59.996903691180883,30.3639412"
440,1113,20,16500,"59.994283964461928,30.359972"
441,1113,20,16500,"59.994283964461928,30.359972"
442,1113,20,16508,"59.991213121107421,30.3523407"
443,1113,20,16508,"59.991213121107421,30.3523407"
444,1113,20,16947,"59.988473374048212,30.3405304"
445,1113,20,16947,"59.988473374048212,30.3405304"
446,1113,20,16161,"59.985354158974573,30.3418274"
447,1113,20,16161,"59.985354158974573,30.3418274"
448,1113,20,16184,"59.981892955275015,30.3432903"
449,1113,20,16184,"59.981892955275015,30.3432903"
450,1113,20,16168,"59.976760277302354,30.3443146"
451,1113,20,16168,"59.976760277302354,30.3443146"
452,1113,20,16173,"59.970895338404112,30.34832"
453,1113,20,16173,"59.970895338404112,30.34832"
454,1113,20,21663,"59.967931713780551,30.34972"
455,1113,20,21663,"59.967931713780551,30.34972"
456,1113,20,26602,"59.96303961485664,30.3516808"
457,1113,20,26602,"59.96303961485664,30.3516808"
458,1113,20,21667,"59.958533185050015,30.3530464"
459,1113,20,21667,"59.958533185050015,30.3530464"
460,1113,20,16116,"59.95607456319869,30.3513126"
461,1113,20,16116,"59.95607456319869,30.3513126"
462,1113,20,16123,"59.955315396923176,30.3545914"
463,1113,20,16123,"59.955315396923176,30.3545914"
464,1113,20,16130,"59.956977332888378,30.355751"
465,1113,20,16130,"59.956977332888378,30.355751"
466,1113,20,38121,"59.958051049664093,30.3535004"
467,1113,20,38121,"59.958051049664093,30.3535004"
468,1113,20,26601,"59.962454976092992,30.352272"
469,1113,20,26601,"59.962454976092992,30.352272"
470,1113,20,41443,"59.967336905953374,30.3501949"
471,1113,20,41443,"59.967336905953374,30.3501949"
472,1113,20,21662,"59.971097005644658,30.3484802"
473,1113,20,21662,"59.971097005644658,30.3484802"
474,1113,20,16179,"59.976319417653876,30.344841"
475,1113,20,16179,"59.976319417653876,30.344841"
476,1113,20,16164,"59.981489751052763,30.3436832"
477,1113,20,16164,"59.981489751052763,30.3436832"
478,1113,20,16187,"59.985811981126915,30.3418427"
479,1113,20,16187,"59.985811981126915,30.3418427"
480,1113,20,16948,"59.988760340733613,30.3406219"
481,1113,20,16948,"59.988760340733613,30.3406219"
482,1113,20,16520,"59.991028656482165,30.3517723"
483,1113,20,16520,"59.991028656482165,30.3517723"
484,1113,20,16702,"59.991831411703636,30.3543797"
485,1113,20,16702,"59.991831411703636,30.3543797"
486,1113,20,16524,"59.993662303942486,30.3587971"
487,1113,20,16524,"59.993662303942486,30.3587971"
488,1113,20,16528,"59.997142769339632,30.3643513"
489,1113,20,16528,"59.997142769339632,30.3643513"
490,1113,20,16406,"59.998730887536858,30.3610172"
491,1113,20,16406,"59.998730887536858,30.3610172"
492,1113,20,16411,"59.999827156910271,30.3533401"
493,1113,20,16411,"59.999827156910271,30.3533401"
