,№,Официальное наименование,Координаты,Район,Количество маршрутов
405,4095,"Ул. Маршала Казакова (оборотная, посадки/высадки нет)","59.860334009894565,30.2261105",Кировский,1
406,5837,"Ст. метро ""Обводный канал""","59.914626704989843,30.350359",Невский,3
407,5841,Расстанная ул,"59.908045307315987,30.3458004",Фрунзенский,3
408,5910,Придорожная аллея,"60.051532488100321,30.3793907",Выборгский,2
409,5962,Ул. Александра Невского,"59.926731425163858,30.3863506",Невский,3
410,5964,Исполкомская ул,"59.928025164013462,30.3822689",Невский,3
411,5966,Перекупной пер,"59.930629601641108,30.3807697",Центральный,3
412,5975,Нейшлотский пер,"59.967931713780551,30.34972",Центральный,1
413,5976,Боткинская ул,"59.958533185050015,30.3530464",Калининский,1
414,5982,"Конечная станция ""Обуховский завод""","59.86283059487841,30.4738312",Невский,1
415,6491,"Конечная станция ""Пр. Солидарности"" (посадки и высадки нет)","59.917393104906502,30.4980583",Красногвардейский,3
416,6496,Кронверкский пр,"59.949402195899538,30.3061295",Центральный,1
417,6497,Пр. Добролюбова,"59.949802370602541,30.3066387",Центральный,1
418,6500,Пр. Металлистов,"59.953342167195615,30.4214096",Красногвардейский,1
419,6508,Елецкая ул,"60.0179666756583,30.3217201",Выборгский,3
420,6509,ЦПКиО,"59.984144658049814,30.2558098",Приморский,2
421,6579,Ново-Никольский мост,"59.921795587693552,30.3045998",Центральный,2
422,6580,Юсуповский сад,"59.923753580569489,30.3107414",Центральный,2
423,6581,Сенная пл,"59.925564278842728,30.3149815",Центральный,2
424,6583,"Пл. Стачек. Ст. метро ""Нарвская""","59.901822255456892,30.2747974",Кировский,1
425,6584,"Оборотная станция ""Сенная пл."" (посадки/высадки нет)","59.927272200449224,30.3190594",Центральный,1
426,6585,Вознесенский пр,"59.923561894061059,30.3099308",Центральный,2
427,6586,Нарвский пр,"59.905596639612313,30.276495",Кировский,1
428,6589,"Пл. Стачек (оборотная, посадки/высадки нет)","59.901342720405623,30.2729588",Кировский,1
429,6774,"Ул. Коллонтай, 3","59.912671597686639,30.4406605",Красногвардейский,4
430,6800,Большая Подьяческая ул,"59.922274827397388,30.3058987",Центральный,2
431,6810,Ул. Комиссара Смирнова,"59.962454976092992,30.352272",Калининский,1
432,6845,Омская ул,"59.992483849473878,30.3215008",Калининский,3
433,6868,"Наб. Макарова, ст. метро ""Спортивная""","59.946929214281269,30.2844715",Василеостровский,1
434,6877,Нерчинская ул,"59.914363063261519,30.4472427",Красногвардейский,4
435,6892,"Ул. Ленсовета, 53","59.84184384869905,30.3325634",Московский,1
436,6895,"Бассейн ""Атлантика""","59.843305597135192,30.4841003",Приморский,2
437,6992,"Ст. метро ""Сенная площадь""","59.928042276623131,30.3209286",Центральный,1
438,6994,Апраксин двор,"59.930321597339443,30.3260708",Центральный,1
439,6996,Гостиный двор,"59.932891634492989,30.3324604",Центральный,1
440,6998,Итальянская ул,"59.935553859802589,30.3357964",Центральный,1
441,6999,Инженерная ул,"59.938010582508753,30.3364639",Центральный,1
442,7000,Михайловский замок,"59.940323430873768,30.3360844",Центральный,1
443,7001,Летний сад,"59.941842432859971,30.3350792",Центральный,1
444,7002,Суворовская пл,"59.945704626735136,30.3309517",Центральный,1
445,7135,"Петергофское шоссе, 59","59.847357667401234,30.1363182",Красносельский,2
446,7181,Ул. Белышева,"59.915434736723526,30.45191",Красногвардейский,4
447,7280,"Шоссе Революции, по требованию","59.963542190810244,30.4649734",Красногвардейский,1
448,7282,"Ул. Электропультовцев, по требованию","59.966991639039236,30.462862",Кировский,1
449,7284,"Трамвайное депо ООО ""ТКК"" (посадки/высадки нет)","59.972406103804289,30.4655609",Кировский,1
450,7410,Гранитная ул,"59.920426293259368,30.422308",Красногвардейский,6
451,7421,"Пр. Энергетиков, по требованию","59.928302387203338,30.4355526",Красногвардейский,1
452,7423,"Казанская ул., по требованию","59.924790722294127,30.4311714",Красногвардейский,1
453,7425,Малая Охта,"59.920638537596744,30.42416",Красногвардейский,2
454,7428,"Дальневосточный пр., 12","59.91404806000935,30.4353981",Красногвардейский,4
455,7429,Ул. Еремеева,"59.91617769769654,30.4304638",Красногвардейский,4
456,7460,пр. Стачек,"59.859569221785037,30.2511806",Кировский,2
457,7610,"Конечная станция ""Малая Охта"" (посадки и высадки нет)","59.920748082530089,30.4252701",Красногвардейский,1
458,7797,"Пр. Луначарского, 68","60.038787705226845,30.3533001",Калининский,3
459,8111,Земледельческая ул,"59.99065972414683,30.3326588",Петроградский,3
460,8250,Троицкая пл. П.С,"59.954412581957229,30.3242569",Петроградский,1
461,8388,"Пр. Просвещения, угол Светлановского пр","60.039466505121091,30.4004345",Калининский,2
462,8560,"Ст. метро ""Горный институт""","59.931652839844347,30.2609558",Василеостровский,1
